Account Name,Primary Contact,Main Phone,Account Number,Account Rating,Address 1: Address Type,Address 1: City,Address 1: Country/Region,Address 1: County,Address 1: Fax,Address 1: Freight Terms,Address 1: Latitude,Address 1: Longitude,Address 1: Name,Address 1: Post Office Box,Address 1: Primary Contact Name,Address 1: Shipping Method,Address 1: State/Province,Address 1: Street 1,Address 1: Street 2,Address 1: Street 3,Address 1: Telephone 2,Address 1: Telephone 3,Address 1: UPS Zone,Address 1: UTC Offset,Address 1: ZIP/Postal Code,Address 2: Address Type,Address 2: City,Address 2: Country/Region,Address 2: County,Address 2: Fax,Address 2: Freight Terms,Address 2: Latitude,Address 2: Longitude,Address 2: Name,Address 2: Post Office Box,Address 2: Primary Contact Name,Address 2: Shipping Method,Address 2: State/Province,Address 2: Street 1,Address 2: Street 2,Address 2: Street 3,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,Address 2: UPS Zone,Address 2: UTC Offset,Address 2: ZIP/Postal Code,Address Phone,Aging 30,Aging 60,Aging 90,Annual Revenue,Business Type,Category,Classification,Created By,Created On,Credit Hold,Credit Limit,Customer Size,Description,Do not allow Bulk E-mails,Do not allow Bulk Mails,Do not allow E-mails,Do not allow Faxes,Do not allow Mails,Do not allow Phone Calls,E-mail,E-mail Address 2,E-mail Address 3,Fax,FTP Site,Industry,Last Date Included in Campaign,Market Capitalization,Modified By,Modified On,No. of Employees,Originating Lead,Other Phone,Propriétaire,Ownership,Parent Account,Payment Terms,Preferred Day,Preferred Facility/Equipment,Preferred Method of Contact,Preferred Service,Preferred Time,Preferred User,Price List,Relationship Type,Send Marketing Materials,Shares Outstanding,Shipping Method,SIC Code,Status,Status Reason,Stock Exchange,Telephone 3,Territory,Territory Code,Ticker Symbol,Web Site
Entreprise du sport ABC,Lukas Keller,123 4567,MET6F5F1,2,,Lyon,France,,,,,,,,,,Rhône - Alpes,223, boulevard du Mercredi,,,,,,69001,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"825 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,1745,Lukas Keller,,Gail Erickson,2,,4,,,1,,,,14,8,0,,,,Actif,1,,,Ouest,,,
Professionnels de la remise en forme LMN,Erwin Zischka,123 4567,EBS3HF79,3,,Nantes,France,,,,,,,,,,Pays-de-la Loire,344, boulevard du Samedi,,,,,,44100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"745 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,41,,,Jose Curry,2,,4,,,2,,,,33,3,0,,,,Actif,1,,,Centre,,,
Détaillants pour cycles ABC,Daniela Guaita,123 4567,,2,,Clermont-Ferrand,France,,,,,,,,,,Auvergne,445, boulevard du Vendredi,,,,,,63100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"7 000 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,69,,,Gail Erickson,,,4,,,3,,,,14,3,0,,,,Actif,1,,,Ouest,,,
Accessoires pour vélos XYZ,Anja Egelund-Müller,123 4567,BPAX0Z9M,2,,Dijon,France,,,,,,,,,,Bourgogne,112, impasse du Mardi,,,,,,21000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"6 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,93,,,Jose Curry,2,,4,,,1,,,,33,3,0,,,,Actif,1,,,Centre,,,
Centre de loisirs XYZ,Nils Blaauboer,123 4567,,3,,Toulouse,France,,,,,,,,,,Midi - Pyrénées,113, avenue du Jeudi,,,,,,31100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"20 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,257,,,Alan Jackson,,,4,,,5,,,,33,3,0,,,,Actif,1,,,Est,,,
Magasin de compétition LMN,Kristian Gotsch,123 4567,,1,,Orléans,France,,,,,,,,,,Centre,334, impasse du Samedi,,,,,,45000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"5 500 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,29,,,Alan Jackson,,,4,,,3,,,,14,3,0,,,,Actif,1,,,Est,,,
Centre de compétition XYZ,Pia Lund,123 4567,BRWNCO87,3,,Montpellier,France,,,,,,,,,,Languedoc - Roussillon,778, impasse du Jeudi,,,,,,34070,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"3 200 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,82,,,Jose Curry,2,,4,,,2,,,,33,3,0,,,,Actif,1,,,Centre,,,
Location pour la compétition ABC,Juan Alcover-Aguilar,123 4567,TRA6EC05,2,,Limoges,France,,,,,,,,,,Limousin,334, boulevard du Lundi,,,,,,87100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"300 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,3167,Patrik Müller,,Alan Jackson,2,,4,,,2,,,,14,8,0,,,,Actif,1,,,Est,,,
Location pour les loisirs LMN,Elke Stangl,123 4567,ULB343045,1,,Châlons-en-Champagne,France,,,,,,,,,,Champagne - Ardenne,334, impasse du Dimanche,,,,,,17620,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"2 500 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,17,,,Jose Curry,2,,4,,,2,,,,33,3,0,,,,Actif,1,,,Centre,,,
Magasin de cycles XYZ,Manja Boersma,123 4567,,2,,Dijon,France,,,,,,,,,,Bourgogne,334, rue du Lundi,,,,,,21000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"1 800 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,27,,,Gail Erickson,,,4,,,2,,,,33,3,0,,,,Actif,1,,,Ouest,,,
Entreprise de VTT LMN,Ivo Haemels,123 4567,PRO7A099,1,,Besançon,France,,,,,,,,,,Franche-Comté,223, boulevard du Lundi,,,,,,25000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"179 000 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,1,0,1,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,6298,Ivo Haemels,,Gail Erickson,2,,4,,,2,,,,14,8,0,,,,Actif,1,,,Ouest,,,
Entreprise de performances LMN,Dick Beekman,123 4567,,3,,Poitiers,France,,,,,,,,,,Poitou - Charentes,589, avenue du Lundi,,,,,,86000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"2 900 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,244,,,Alan Jackson,,,4,,,1,,,,14,3,0,,,,Actif,1,,,Est,,,
Accessoires de sport LMN,Sidsel Øby,123 4567,BAK8JYGF,1,,Nice,France,,,,,,,,,,Provence - Alpes - Côte d'Azur,778, boulevard du Mercredi,,,,,,O6100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"42 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,51,,,Jose Curry,2,,4,,,1,,,,33,3,0,,,,Actif,1,,,Centre,,,
Accessoires pour cycles XYZ,Gitte Casparij,123 4567,BBA38GHT,2,,Rennes,France,,,,,,,,,,Bretagne,112, impasse du Dimanche,,,,,,35200,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"2 500 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,108,,,Jose Curry,2,,4,,,3,,,,33,3,0,,,,Actif,1,,,Centre,,,
Entreprise de loisirs XYZ,Loïg Raoul,123 4567,LEA44BCB,3,,Strasbourg,France,,,,,,,,,,Alsace,124, rue du Mercredi,,,,,,67100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"2 500 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,5275,Loïg Raoul,,Jose Curry,2,,4,,,1,,,,33,8,0,,,,Actif,1,,,Centre,,,
Fournitures de compétition XYZ,Peter Krschne,123 4567,,2,,Montpellier,France,,,,,,,,,,Languedoc - Roussillon,225, boulevard du Lundi,,,,,,34070,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"500 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,105,,,Gail Erickson,,,4,,,2,,,,33,3,0,,,,Actif,1,,,Ouest,,,
Location pour les loisirs XYZ,Ties Arts,123 4567,,2,,Marseille,France,,,,,,,,,,Provence - Alpes - Côte d'Azur,344, impasse du Vendredi,,,,,,13001,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"1 800 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,34,,,Alan Jackson,,,4,,,1,,,,33,3,0,,,,Actif,1,,,Est,,,
Magasin de cycles ABC,Dick Beekman,123 4567,,2,,Paris,France,,,,,,,,,,Île-de-France,334, rue du Dimanche,,,,,,75010,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"12 250 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,250,,,Alan Jackson,,,4,,,1,,,,33,3,0,,,,Actif,1,,,Est,,,
Magasin du vélo XYZ,Indro Neri,123 4567,,3,,Nantes,France,,,,,,,,,,Pays-de-la Loire,445, boulevard du Dimanche,,,,,,44100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"1 250 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,16,,,Gail Erickson,,,4,,,3,,,,33,3,0,,,,Actif,1,,,Ouest,,,
Détaillants pour vélos ABC,HeidiRing Jensen,123 4567,,3,,Rennes,France,,,,,,,,,,Bretagne,445, rue du Mercredi,,,,,,35200,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"950 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,48,,,Alan Jackson,,,4,,,3,,,,14,3,0,,,,Actif,1,,,Est,,,
Détaillants pour vélos XYZ,Roberto Scaringella,123 4567,FROCD6EA,2,,Saint-Étienne,France,,,,,,,,,,Rhône - Alpes,123, avenue du Jeudi,,,,,,42000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"3 200 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,7953,Roberto Scaringella,,Jose Curry,2,,4,,,2,,,,14,3,0,,,,Actif,1,,,Centre,,,
Location de vélos LMN,KarinaNormann Jakobsen,123 4567,ULTE6881,1,,Amiens,France,,,,,,,,,,Picardie,334, avenue du Mercredi,,,,,,80080,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"9 400 000,00 €",,1,,First name Last name,1/24/2008,1,,,,,,1,0,1,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,2075,Armin Cremerius-Günther,,Alan Jackson,2,,4,,,3,,,,14,3,0,,,,Actif,1,,,Est,,,
Centre du cycle LMN,PerLund Jørgensen,123 4567,DCSS43GR,2,,Bordeaux,France,,,,,,,,,,Aquitaine,778, impasse du Samedi,,,,,,33200,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"8 450 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,247,,,Jose Curry,2,,4,,,1,,,,33,3,0,,,,Actif,1,,,Centre,,,
Location pour le sport XYZ,Jesús Escolar,123 4567,,3,,Rouen,France,,,,,,,,,,Haute-Normandie,334, impasse du Dimanche,,,,,,76000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"10 500 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,51,,,Alan Jackson,,,4,,,1,,,,33,3,0,,,,Actif,1,,,Est,,,
Équipements de loisirs ABC,Doris Krieger,123 4567,HJFK9D7S,2,,Bordeaux,France,,,,,,,,,,Aquitaine,223, impasse du Lundi,,,,,,33200,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"30 000 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,150,,,Gail Erickson,2,,4,,,3,,,,33,3,0,,,,Actif,1,,,Ouest,,,
Accessoires de remise en forme ABC,Tomás Navarro,123 4567,ABCO9M32,2,,Poitiers,France,,,,,,,,,,Poitou - Charentes,112, avenue du Vendredi,,,,,,86000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"1 600 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,59,,,Jose Curry,2,,4,,,3,,,,33,3,0,,,,Actif,1,,,Centre,,,
Équipements de loisirs XYZ,Markus Zulechner,123 4567,NEWB7A8C,1,,Le Havre,France,,,,,,,,,,Haute-Normandie,223, impasse du Samedi,,,,,,76621,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"10 470 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,1,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,3145,Markus Zulechner,,Jose Curry,2,,4,,,3,,,,33,8,0,,,,Actif,1,,,Centre,,,
Entreprise d'activités XYZ,Karl Fonteneau,123 4567,GB234F4R,1,,Reims,France,,,,,,,,,,Champagne - Ardenne,123, rue du Jeudi,,,,,,51100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"300 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,36,,,Jose Curry,2,,4,,,3,,,,33,3,0,,,,Actif,1,,,Centre,,,
Entreprise de VTT ABC,Elisabeth Krenthaller,123 4567,7FHKED87,1,,Nantes,France,,,,,,,,,,Pays-de-la Loire,223, boulevard du Jeudi,,,,,,44100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"650 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,200,,,Gail Erickson,2,,4,,,5,,,,33,3,0,,,,Actif,1,,,Ouest,,,
Entreprise de remise en forme LMN,Dominik Steiner,123 4567,LOT31AB8,3,,Châlons-en-Champagne,France,,,,,,,,,,Champagne - Ardenne,223, avenue du Mardi,,,,,,17620,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"500 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,2020,Dominik Steiner,,Jose Curry,2,,4,,,2,,,,33,8,0,,,,Actif,1,,,Centre,,,
Entreprise de performances XYZ,Lars Lohndorf-Larsen,123 4567,WAFAFDS,2,,Poitiers,France,,,,,,,,,,Poitou - Charentes,344, avenue du Dimanche,,,,,,86000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"470 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,734,,,Gail Erickson,2,,4,,,3,,,,33,3,0,,,,Actif,1,,,Ouest,,,
Fournitures de loisirs LMN,Thomas Andersen,123 4567,,2,,Caen,France,,,,,,,,,,Basse-Normandie,445, rue du Vendredi,,,,,,14000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"3 200 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,7,,,Alan Jackson,,,4,,,1,,,,33,3,0,,,,Actif,1,,,Est,,,
Accessoires de remise en forme XYZ,Torsten Arndt,123 4567,BABCO88H,3,,Nantes,France,,,,,,,,,,Pays-de-la Loire,112, boulevard du Jeudi,,,,,,44100,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"5 500 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,59,,,Jose Curry,2,,4,,,2,,,,33,3,0,,,,Actif,1,,,Centre,,,
Location pour le sport LMN,Heike Molnar,123 4567,,1,,Lyon,France,,,,,,,,,,Rhône - Alpes,334, boulevard du Vendredi,,,,,,69001,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"310 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,189,,,Alan Jackson,,,4,,,3,,,,33,3,0,,,,Actif,1,,,Est,,,
Accessoires pour vélos LMN,Sven Buck,123 4567,BE3HUH8D,1,,Bordeaux,France,,,,,,,,,,Aquitaine,112, impasse du Lundi,,,,,,33200,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"290 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,101,,,Jose Curry,2,,4,,,2,,,,33,3,0,,,,Actif,1,,,Centre,,,
Entreprise de performances ABC,Michael Lange,123 4567,IUSGDFS3,1,,Ajaccio,France,,,,,,,,,,Corse,778, rue du Samedi,,,,,,20090,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"24 500 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,883,,,Gail Erickson,2,,4,,,1,,,,33,3,0,,,,Actif,1,,,Ouest,,,
Entreprise de loisirs LMN,Claus Hansen,123 4567,LSE56Y6Y,3,,Paris,France,,,,,,,,,,Île-de-France,124, rue du Mardi,,,,,,75010,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"745 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,29,,,Jose Curry,2,,4,,,2,,,,14,3,0,,,,Actif,1,,,Centre,,,
Magasin du vélo LMN,Christian Hess,123 4567,WBS993R2,1,,Châlons-en-Champagne,France,,,,,,,,,,Champagne - Ardenne,445, avenue du Vendredi,,,,,,17620,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"1 100 000 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,9,,,Jose Curry,2,,4,,,2,,,,33,3,0,,,,Actif,1,,,Centre,,,
Accessoires pour cycles ABC,Alexander Eggerer,123 4567,BTBS3G34,2,,Lyon,France,,,,,,,,,,Rhône - Alpes,112, boulevard du Mercredi,,,,,,69001,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"950 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,148,,,Jose Curry,2,,4,,,2,,,,33,3,0,,,,Actif,1,,,Centre,,,
Accessoires de compétition LMN,Melanie Speckmann,123 4567,ACTBBDC3,3,,Nancy,France,,,,,,,,,,Lorraine,112, avenue du Jeudi,,,,,,54000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"650 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,1,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,2029,Melanie Speckmann,,Alan Jackson,2,,4,,,1,,,,14,8,0,,,,Actif,1,,,Est,,,
Entreprise de remise en forme ABC,Enrique Gil,123 4567,VAL6C186,3,,Amiens,France,,,,,,,,,,Picardie,223, avenue du Lundi,,,,,,80080,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"1 650 000 000,00 €",,1,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,33,,,First name Last name,1/24/2008,7789,Antoine Faisandier,,Alan Jackson,2,,4,,,1,,,,33,8,0,,,,Actif,1,,,Est,,,
Fournitures pour remise en forme XYZ,Agostino Martino,123 4567,SPE93BF0,3,,Lille,France,,,,,,,,,,Nord - Pas-de-Calais,225, rue du Dimanche,,,,,,59000,,,,,,,,,,,,,,,,,,,,,,,123 4567,,,,"1 430 000 000,00 €",,2,,First name Last name,1/24/2008,0,,,,,,0,0,0,0,someone@example.com,,,,,14,,,First name Last name,1/24/2008,1725,Agostino Martino,,Jose Curry,2,,4,,,1,,,,14,8,0,,,,Actif,1,,,Centre,,,
