Number,Subject,Title,Article,ArticleXML,Created By,Created On,Description,Key Words,Modified By,Modified On,Status,BaseTemplate
AKB-01045,Service,Ajustement des roues à trois vitesses,{4f901107-c2cf-4e5b-9f86-32f48c4c5399},"<articledata><section id='0'><content>Maintenez le levier de vitesses exactement entre la seconde et la troisième. Tournez la connexion entre le câble et la petite chaîne jusqu’à pouvoir faire tourner les pédales vers l’avant sans tourner la roue arrière. Lorsque ce« point mort» se trouve exactement entre la troisième et la seconde, le réglage est correct. Vissez le petit écrou moleté sur la petite chaîne. Ceci doit être fait avec soin, sinon le cycliste risque de rencontrer de sérieux problèmes si le vélo se met au point mort à un moment inattendu. </content></section></articledata>",First name Last name,21/01/2008,Ajustement des roues à trois vitesses,,First name Last name,21/01/2008,Publié,Procédure
AKB-01001,Informations générales - Vélos,Réglage de la selle,{76a8d1ae-a642-4967-9daf-39c7b28030b6},"<articledata><section id='0'><content><![CDATA[La hauteur, l’angle et la position avant/arrière de la selle de votre vélo peuvent se régler.]]></content></section><section id='1'><content><![CDATA[<P>Réglage de la hauteur - lorsque la pédale est en bas de course, votre genou doit être presque tendu. La selle doit être haute, mais pas trop : si le genou est trop tendu, le cycliste est mal à l’aise.</P><P>Si votre vélo est équipé d’un levier de réglage rapide sous la selle, débloquez-le, réglez la selle dans la position voulue, et bloquez le levier. Ne dépassez pas le trait de sécurité maximum indiqué sur le tube de selle.</P><P>La selle doit être presque horizontale. Si elle penche vers l’avant, vous glisserez vers l’avant et appuierez trop sur les mains et les bras.  Cette inclinaison est question de préférence personnelle.</P><P>La selle peut se régler plus vers l’avant ou vers l’arrière.  Elle est fixée sur le tube de selle au moyen d’une paire de rails métalliques. Desserrez l’écrou et faites glisser la selle vers l’avant ou l’arrière, puis resserrez-le.</P>]]></content></section></articledata>",First name Last name,21/01/2008,,"selle, réglage, hauteur, angle, position",First name Last name,21/01/2008,Brouillon,Procédure
AKB-01029,Service,Ajustement du dérailleur avant,{92f5284f-a71b-4311-a85d-3b6548d259a9},"<articledata><section id='0'><content>En tenant fermement d’une main chaque bras de manivelle, tirez et poussez latéralement pour voir s’il y a du jeu dans le pédalier (photo). Si nécessaire, utilisez les outils de pédalier appropriés pour éliminer ce jeu. Selon votre type de pédalier, vous devrez peut-être d’abord retirer le bras de manivelle. Tout jeu dans le roulement du pédalier rend impossible l’ajustement correct du dérailleur avant. Pendant que vous travaillez sur la manivelle, vérifiez chaque boulon avec la clé hexagonale 5 mm pour vous assurer qu’ils sont bien serrés. Soulevez la chaîne hors du plus petit plateau et placez-la sur le pédalier du cadre. Tournez la manivelle à la main et regardant les plateaux par au-dessus. En prenant comme repère un côté de la cage du dérailleur avant, observez si chaque plateau tourne droit. S’ils tournent de travers, rectifiez-les en serrant doucement avec la clé à molette (réglez les mâchoires juste assez large pour glisser au-dessus du plateau). Une autre façon de procéder consiste à taper doucement sur la partie voilée avec un maillet en plastique. Ceci requiert un peu de pratique, mais c’est efficace quand vous avez pris le coup de main. Replacez la chaîne sur le plateau. Retirez ensuite la butée d’extrémité du câble, desserrez le boulon d’ancrage avec une clé, et sortez le câble de son logement (le cas échéant). Remplacez le câble s’il est rouillé ou effiloché, et le logement s’il est usé ou corrodé. Faites passer le nouveau câble dans la manette, le logement (ou le guide du dérailleur), et arrêtez-le avec le boulon d’ancrage (photo). Ne le serrez pas encore. Appliquez une huile en bombe sur les pointes des pivots de dérailleur et essuyez le surplus. Vérifiez avec un tournevis que le boulon de la cage est bien serré.</content></section></articledata>",First name Last name,21/01/2008,Ajustement du dérailleur avant,"dérailleur avant, ajustement",First name Last name,21/01/2008,Publié,Procédure
AKB-01049,Service,Remplacement des patins de freins,{5162c1ce-7dee-4052-9e2b-3d431b2b3d17},"<articledata><section id='0'><content>Retirez l’ancien patin de frein. Auparavant, notez la position de la tige sur la fente de l’étrier de frein. Notez aussi comment la fente est située parmi les entretoises de joints à rotule sur la tige du frein. (L’un des jeux d’entretoises est plus grand que l’autre. Avec l’usure du frein, les entretoises ont pu être échangées.) S’il reste une bande de roulement ou des rainures sur le patin, notez dans quel sens. Le patin de pneu se retire en dévissant l'écrou à l’extrémité de la tige filetée. Mettez le patin neuf en place, après avoir vérifié s’il y a un sens de montage. En général, si le patin comporte des V, la pointe du V est dirigée vers l’arrière du vélo. Utilisez la plus large des entretoises de joints à rotule sur le côté patin de l’étrier si vous voulez que vos étriers soient bien écartés. Si vous les préférez plus proches, placez les entretoises les plus larges du côté écrou de l’étrier.</content></section></articledata>",First name Last name,21/01/2008,Remplacement des patins de freins,patins de freins,First name Last name,21/01/2008,Publié,Procédure
AKB-01052,Service,Réglage de la hauteur du guidon,{cf96f142-95d9-421c-a5cd-3deeeb553cf5},"<articledata><section id='0'><content>Le réglage de la hauteur du guidon peut rendre le vélo plus confortable. Cela modifie aussi le comportement du vélo. Avec un guidon plus haut, il est plus facile de se redresser dans les descentes raides. Un guidon plus bas est appréciable pour monter les côtes, parce que vous pouvez plus facilement faire porter votre poids vers l’avant du vélo. La hauteur du guidon dépend de la tige, qui fixe votre guidon sur le tube de direction. Si la tige est filetée, vous pouvez aisément élever ou abaisser le guidon sans rien démonter. Si elle n’est pas filetée, vous devez démonter les pièces et soit (1) insérer des bagues sous la tige, (2) acheter et installer une tige réglable, soit (3) les deux.</content></section></articledata>",First name Last name,21/01/2008,Réglage de la hauteur du guidon,guidon,First name Last name,21/01/2008,Publié,Procédure
AKB-01021,VTT,Manuel utilisateur des VTT Adventure Works Cycle,{70f7d696-f762-4838-8faf-4630927d4842},<articledata><section id='0'><content><![CDATA[<P>Ce manuel concerne tous les modèles de VTT :</P><P>VTT-500<BR>VTT-400<BR>VTT-300<BR>VTT-200<BR>VTT-100</P>]]></content></section><section id='1'><content><![CDATA[<P>Table des matières</P><P>1. Les pièces d’un vélo</P><P>2. Géométrie et spécifications</P><P>3. Exécution d’un contrôle de sécurité </P><P>4. Entretien de votre vélo : Informations de base sur le réglage</P><BLOCKQUOTE dir=ltr style='MARGIN-RIGHT: 0px'><P>Retrait des roues avant et arrière<BR>Nettoyage et graissage</P></BLOCKQUOTE><P>5. Entretien de votre vélo : utilisateurs expérimentés</P><BLOCKQUOTE dir=ltr style='MARGIN-RIGHT: 0px'><P>Planning de maintenance<BR>Le système de freinage<BR>Vitesses et transmission<BR>Guidon et jeu de direction<BR>Suspension avant et arrière</P></BLOCKQUOTE><P>6. Revendeurs</P><P>7. Informations de garantie</P><P>8. Acrobaties<BR></P>]]></content></section></articledata>,First name Last name,21/01/2008,,"utilisateur, manuel, VTT, modèle, pièce, géométrie, spécifications, maintenance, garantie, acrobatie",First name Last name,21/01/2008,Publié,Procédure
AKB-01028,Service,Ajustement du dérailleur arrière,{bee0d260-5b8e-4108-8288-481a8d8869a3},"<articledata><section id='0'><content>Coupez l’extrémité, desserrez le boulon d’ancrage et extrayez le câble. S’il est faussé ou rouillé, remplacez-le. Graissez les sections qui passent à l’intérieur de la gaine (photo) et réintroduisez le câble dans la gaine jusqu’au boulon d’ancrage. Tournez le barillet de réglage du dérailleur dans le sens des aiguilles d’une montre, puis dévissez-le d’un tour. Ne resserrez pas encore le boulon d’ancrage. Tout en pédalant de la main droite, appuyez sur le corps du dérailleur avec le pouce gauche (photo), ce qui enclenche le grand pignon. Relâchez la pression de votre pouce pour enclencher le plus petit pignon. Recommencez plusieurs fois pour repérer une éventuelle hésitation ou un défaut de l’enclenchement. La chaîne doit se déplacer sans à-coups sur le grand et le petit pignons. Si nécessaire, ajustez la latitude de déplacement du dérailleur en tournant (photo) les vis de limites du grand et du petit braquets (en général celles du haut et du bas, respectivement) pour permettre au dérailleur de se placer avec précision sur le grand et le petit pignons. Des tours dans le sens inverse des aiguilles d’une montre permettent un déplacement plus ample ; dans l’autre sens, ils limitent le déplacement. Continuez à changer les vitesses avec votre pouce et à régler les vis jusqu’à ce que la chaîne se place parfaitement sur chaque pignon sans hésitation ni déraillement (au-delà des pignons du haut ou du bas)</content></section></articledata>",First name Last name,21/01/2008,Ajustement du dérailleur arrière,"arrière, dérailleur, ajustement",First name Last name,21/01/2008,Brouillon,Procédure
AKB-01020,Informations générales - Société,Rappels Adventure Works Cycle,{34129253-faeb-462e-ac1c-57a6380acf97},"<articledata><section id='0'><content><![CDATA[Pour votre sécurité, prenez contact avec votre revendeur si vous possédez l’un des modèles de vélo qui suivent :<BR>Si vous avez renvoyé votre carte de garantie mentionnant votre numéro de série, vous<BR>allez recevoir un courrier personnalisé vous avertissant d’un éventuel rappel s’appliquant aux<BR>produits que vous avez achetés.]]></content></section><section id='1'><content><![CDATA[<P><STRONG>Rappel de la FOURCHE DU VéLO VTT :</STRONG></P><BLOCKQUOTE dir=ltr style='MARGIN-RIGHT: 0px'><P><U>MODèLES</U>: Tous les modèles de vélos de montagne de taille de cadre 38 ou 40 pouces, et fabriqués entre novembre 2001 et décembre 2001.</P><P><U>Problème</U>: Les fourches peuvent casser et blesser gravement le cycliste.</P><P> </P></BLOCKQUOTE><P><STRONG>Rappel BRAS DE MANIVELLE :</STRONG></P><BLOCKQUOTE dir=ltr style='MARGIN-RIGHT: 0px'><P><U>MODèLES</U>: Bras de manivelle des vélos Route modèles 550-W et 350-W avec un code date compris entre juin 2000 et août 2000.</P><P><U>Problème</U>: Peuvent casser, entraînant une chute.</P></BLOCKQUOTE><P> </P><P><STRONG>Rappel FIXATION SUR TUBE DE SELLE :</STRONG></P><BLOCKQUOTE dir=ltr style='MARGIN-RIGHT: 0px'><P><U>MODèLES</U>: Le Tourisme-2000 est le seul modèle concerné. Rapportez votre vélo pour<BR>          une évaluation chez votre revendeur local.</P><P><U>Problème</U>: La fixation sur le tube de selle peut être défectueuse. Il n’est pas possible d’identifier les<BR>           fixations défectueuses.  Pour éviter une blessure possible si la fixation cédait, toutes les<BR>           fixations de selles seront remplacées par une fixation en acier inox.<BR></P></BLOCKQUOTE>]]></content></section></articledata>",First name Last name,21/01/2008,,"rappel, sécurité, garantie",First name Last name,21/01/2008,Non approuvé,Procédure
AKB-01018,Questions des revendeurs,Liste des revendeurs et conditions,{39c31bf6-b367-4cbe-b114-6104e4744f84},"<articledata><section id='0'><content><![CDATA[Liste des revendeurs et conditions]]></content></section><section id='1'><content><![CDATA[Adressez vos demandes de revendeur à :<BR>Adventure Works Cycle<BR>Bothell, WA 555-0100<BR><A href='mailto:someone@example.com'>someone@exemple.com</A>]]></content></section></articledata>",First name Last name,21/01/2008,,"revendeur, liste, conditions",First name Last name,21/01/2008,Non approuvé,Procédure
AKB-01044,Service,Entretien du jeu de direction,{7f21b8e4-a82c-4d6b-aa4a-638c70d023d8},"<articledata><section id='0'><content>Vous pouvez avoir besoin de maintenir la cuvette de roulement - l’objet qui tourne, juste au-dessous du contre-écrou, lorsque vous desserrez le contre-écrou. Le mieux est une fine clé de contre-écrou de direction, mais vous pouvez trouver dans votre garage un autre outil qui convienne, par exemple une pince sur la cuvette de roulement et une clé à molette pour dévisser le contre-écrou. Dégagez maintenant la tige. (Certaines tiges sont maintenues par compression du contre-écrou -- à ce point, elles sont libérées.) Si la tige est coiffé d’une capsule pare-poussière, faites-la sauter. Insérez une clé hexagonale dans le boulon au sommet de la tige et tournez jusqu’à ce que le guidon se désolidarise de la roue. Sortez la tige du tube de direction. Posez le guidon soigneusement en évitant de déformer les câbles ! Par exemple, utilisez une pince en bois pour attacher la tige sur le côté du tube de direction. Desserrez maintenant la cuvette de roulement avec votre clé hexagonale ou un autre outil. En général, je penche le vélo pour que la fourche reste en place. Placez un grand récipient ou une bâche sous le vélo pour récupérer les pièces qui risquent de tomber. Dégagez la fourche du tube de direction. Si les roulements du bas ne sortent pas avec le jeu de direction, trouvez le moyen de les récupérer au fond du tube. Si les roulements ne sont pas maintenus par un clip, mettez-les dans un bol et comptez-les séparément (le haut puis le bas) pour pouvoir les replacer correctement. Remettez la roue avant en place (si vous l’aviez ôtée). Veillez à adapter la direction de la tige à celle du pneu avant. Fixez la tige dans le jeu de direction à l’aide de la clé hexagonale.</content></section></articledata>",First name Last name,21/01/2008,Entretien du jeu de direction,"jeu de direction, contre-écrou",First name Last name,21/01/2008,Brouillon,Procédure
AKB-01033,Service,Jeu de direction et tige de guidon,{ce09efa1-530f-4f7b-a862-6483f352f86e},"<articledata><section id='0'><content>Pour ajuster la hauteur de la tige, vous devez d’abord desserrer le boulon du haut de la tige de deux ou trois tours puis la faire descendre en tapant doucement avec un marteau. Ceci libère un système de blocage intérieur. Lorsque la tige est libérée, sortez-la et graissez l’arbre de la tige et le filetage du système de blocage. Pour réinstaller la tige, serrez le boulon lorsque vous êtes satisfait de sa position. La tige du guidon doit être enfoncée d’au moins 7 cm dans la fourche. Assurez-vous qu'elle est correctement serrée en essayant de tourner le guidon tout en bloquant la roue avant entre vos genoux. Vérifiez aussi que le guidon est bien fixé à la tige. </content></section></articledata>",First name Last name,21/01/2008,Jeu de direction et tige de guidon,"jeu de direction, guidon, tige",First name Last name,21/01/2008,Brouillon,Procédure
AKB-01042,Service,Retrait et remplacement de la manivelle cannelée,{2690b2ea-0974-4a17-b60c-6a0c915e307a},"<articledata><section id='0'><content>Insérez une clé hexagonale dans l’ouverture située à la base de la manivelle. C’est la même clé que celle utilisée pour retirer la vis à chapeau fileté de la manivelle sur un pédalier standard à emmanchement conique. Tournez dans le sens inverse des aiguilles d’une montre pour dévisser le boulon et la vis à chapeau fileté. (Le chapeau peut empêcher le boulon de sortir totalement de la manivelle -- ce n’est pas nécessaire, il vous suffit de le desserrer.)</content></section></articledata>",First name Last name,21/01/2008,Retrait et remplacement de la manivelle cannelée,"manivelle, cannelée, clé hexagonale",First name Last name,21/01/2008,Publié,Procédure
AKB-01043,Service,Remplacement de la fourche avant,{c553be01-2aa0-496b-8020-6c224b5cc11e},"<articledata><section id='0'><content>Il est possible de remplacer une fourche avant pour (1) améliorer les amortisseurs, (2) permettre l’ajout de freins à disque, (3) remplacer une fourche faussée ou tordue, ou (4) choisir une couleur plus belle. En général, les pièces de la fourche avant (en cas de choc d’un seul côté par exemple) ne se remplacent pas individuellement -- vous devez changer l’ensemble. </content></section></articledata>",First name Last name,21/01/2008,Remplacement de la fourche avant,"fourche avant, amortisseurs",First name Last name,21/01/2008,Publié,Procédure
AKB-01016,Composants,Informations de base sur les roues,{30ef391f-c895-4454-8213-6cde155c7b23},"<articledata><section id='0'><content><![CDATA[La roue est constituée du moyeu (la partie centrale qui se fixe sur le cadre), de la jante (qui reçoit le pneu et la chambre à air), des rayons (qui maintiennent la jante) et des pneus. Voir l’article distinct sur les pneus et les chambres à air.]]></content></section><section id='1'><content><![CDATA[<P>Le moyeu est le centre de la roue ; il a un essieu, un carter et des roulements.</P><P>Certains moyeux sont équipés de freins incorporés.</P><P>La jante est le cadre métallique extérieur.</P><P>La roue avant se fixe sur la fourche.</P><P>Les moyeux à déblocage instantané vous permettent de retirer la roue sans outils.</P><P>Le centrage des roues doit être effectué par votre fournisseur. Cela consiste à les centrer et les aligner correctement afin que les patins de freins ne frottent pas.</P>]]></content></section></articledata>",First name Last name,21/01/2008,,"roue, moyeu, jante, pneu",First name Last name,21/01/2008,Publié,Procédure
AKB-01027,Service,Remplacement de la broche de blocage,{5089965a-7041-4ae8-b579-75935f9942c1},"<articledata><section id='0'><content>La broche de blocage est l’« axe» de la roue Elle maintient le moyeu de la roue dans les pattes de la fourche. Si la broche de blocage est tordue, elle peut causer une rotation irrégulière de la roue. Actionnez le levier de déblocage instantané pour dégager la broche. Dévissez le bouchon à l’autre extrémité de la broche, suffisamment pour dégager la roue de la fourche. Continuer de dévisser le bouchon pour le détacher de la broche.Retirez la broche en la tirant du côté du déblocage instantané. Inspectez et nettoyez la broche. Si elle est tordue, remplacez-la. Attention, les ressorts s’installent sur la broche avec leur extrémité LARGE tournée vers l’extérieur, vers la capsule et le déblocage instantané.</content></section></articledata>",First name Last name,21/01/2008,Remplacement de la broche de blocage,"broche de blocage, axe",First name Last name,21/01/2008,Publié,Procédure
